,title,related_genres,genre
219,No Hard Feelings,"[35, 10749]",884605
220,Ricky Stanicky,[35],1022690
221,Sex Plate 17,"[35, 18, 10749]",532794
222,Scary Movie,[35],4247
223,War Dogs,"[35, 80, 18]",308266
224,Rush Hour,"[28, 35, 80]",2109
225,Sexual Chronicles of a French Family,"[35, 18, 10749]",112160
226,Red Notice,"[28, 35, 80]",512195
227,The Ice Age Adventures of Buck Wild,"[16, 35, 12, 10751]",774825
228,Soul,"[16, 10751, 35, 14]",508442
229,Police Academy,"[35, 80]",9336
230,It Boy,[35],173185
231,A Bug's Life,"[10751, 16, 12, 35]",9487
232,Space Cadet,"[35, 10749]",1019411
233,Madagascar: Escape 2 Africa,"[10751, 12, 16, 35]",10527
234,10 Things I Hate About You,"[35, 10749, 18]",4951
235,Hotel Transylvania 3: Summer Vacation,"[16, 35, 10751, 14]",400155
236,It’s for Your Own Good,[35],1192846
237,Night at the Museum: Secret of the Tomb,"[12, 35, 14, 10751]",181533
238,Porno,"[18, 27, 14, 35]",197158
239,Bullet Train,"[28, 35, 53]",718930
240,Lola's Secret,"[18, 35]",329505
241,Ice Age: Continental Drift,"[16, 35, 12, 10751]",57800
242,La La Land,"[35, 18, 10749, 10402]",313369
243,South Park: The End of Obesity,"[16, 35, 10770]",1290938
244,Thriller Night,"[16, 10402, 27, 35]",118249
245,PAW Patrol: The Movie,"[16, 10751, 12, 35]",675445
246,China Dolls,"[35, 80, 18]",172760
247,"Red, White & Royal Blue","[35, 10749]",930094
248,There's Still Tomorrow,"[18, 35, 10752]",1026227
249,Sex and Zen III,"[35, 10749, 18]",123338
250,Megamind,"[16, 28, 35, 10751, 878]",38055
251,Flushed Away,"[12, 16, 35, 10751]",11619
252,Beverly Hills Cop II,"[28, 35, 80]",96
253,Kaka Boss,"[35, 18]",1249439
254,Through My Window: Across the Sea,"[10749, 18, 35]",988078
255,Sneakers,"[35, 80, 18]",2322
256,Kingsman: The Golden Circle,"[28, 12, 35]",343668
257,American Pie Presents: The Naked Mile,[35],8275
